"LD1" "LD2" "LD3"
"var1" 0.00332608553928409 0.0189006934715943 0.214855666597494
"var2" 0.115684955983284 0.0512641935076555 0.00389414317620513
"var3" 0.263705334549033 0.0631959987958498 0.0840396860015794
"var4" 0.201363211265019 0.164811617524446 0.00690620452019038
"var5" 0.00144516186096081 0.24080868808123 0.0219505673014148
"var6" 0.0411980737387078 0.000139238912616827 0.100205684809159
"var7" 0.0382126313501202 0.000313332955920215 0.23922746222142
"var8" 0.0537470568647804 0.139034604072345 0.206128716254702
"var9" 0.21618872360033 0.00842288489382154 0.0140959495645017
"var10" 0.015390684760861 0.29395866463109 0.000616312009338594
"var11" 0.0101815942294095 0.00484082841824658 0.000452230591302805
"var12" 0.000782416343038316 0.000308240292601465 0.00477394481414143
"var13" 0.00783896642270237 0.00447080203349337 0.000134965353657953
"var14" 0.00405410704431962 0.000132995738815707 0.0110615507166057
"var15" 0.00378496638887757 0.00362244609864523 0.00780055376206316
"var16" 0.0104155879105154 0.00011830681472753 0.0194243490798985
"var17" 0.00140629694857379 0.000571096709992274 0.0282648836024592
"var18" 0.00126862200301347 0.002828200327217 9.34912907621266e-05
"var19" 0.00907401510483526 0.00133755856539562 0.000135031005668806
"var20" 0.000931508092334587 0.00091960815429666 0.0359386073274361
