"LD1" "LD2"
"var1" 0.0117899823755699 0.223689935736366
"var2" 0.18037887780723 0.00792551217784513
"var3" 0.153550188934254 0.160817300511933
"var4" 0.067755525493455 0.0590275208844346
"var5" 0.0620443884062274 6.58112518595988e-06
"var6" 0.0387749070266478 0.0796258661039013
"var7" 0.0305444573822131 0.191808817137023
"var8" 0.151870368116222 0.120211875891409
"var9" 0.239987782385319 0.0181096979380799
"var10" 0.0126311806502939 0.0373128738494277
"var11" 0.0162689409816809 0.000112144433475557
"var12" 0.00125620352619338 0.00401011187461523
"var13" 0.00321126799221348 0.000308497969728081
"var14" 0.0033539396312939 0.0120237561312799
"var15" 0.00746024935467643 0.00528999935710947
"var16" 0.00915981069846496 0.0212813092865946
"var17" 0.00195894755269606 0.0263434753510284
"var18" 0.000137210233687479 0.000798201999109736
"var19" 0.00584472959712194 0.000994383202888535
"var20" 0.00202104185453852 0.0303021390385655
