"LD1" "LD2"
"var1" 0.00172547751803922 0.0602037235400822
"var2" 0.0805071839307991 0.0960861830276278
"var3" 0.286677487330403 0.0430122864439118
"var4" 0.267980500705742 0.114550187537923
"var5" 0.00639130094937669 0.230598871582982
"var6" 0.056550325236214 0.0142270009684373
"var7" 0.0477058506133948 0.0135513829951929
"var8" 0.0118667382092767 0.112502989841646
"var9" 0.176121087720979 0.02621361358237
"var10" 0.0599928279833274 0.280483972729863
"var11" 0.000882124975585418 0.00118714723417025
"var12" 7.84333314290588e-05 1.07698754912255e-06
"var13" 0.000466663407258337 0.000526308854690372
"var14" 4.64594370046945e-05 0.00141789291319299
"var15" 0.000470228142939104 0.000399143670125323
"var16" 0.000310176296302092 5.74032042673688e-05
"var17" 0.00152989166835438 0.000797565073352325
"var18" 6.57817714088355e-08 0.00255793445828643
"var19" 0.000693595604894375 0.000582574450766596
"var20" 3.58115691006229e-06 0.00104274090356347
