"LD1" "LD2" "LD3" "LD4"
"var1" 0.00359230941146928 0.0190326047133866 0.21436995849923 0.0045462524948365
"var2" 0.118014202741188 0.0496920430718516 0.00382943871009347 0.000344440197897503
"var3" 0.261234122771132 0.0661237246595784 0.0839909522015929 8.75311994677673e-05
"var4" 0.197760910922509 0.168197917499464 0.00682921105652466 0.000183730453580417
"var5" 0.00190609245077165 0.2392884933954 0.0221963304285706 3.17124411943519e-05
"var6" 0.0416165428481235 0.000119074741533161 0.100235031148211 0.00280354157526378
"var7" 0.0385134944118557 0.000332037952841565 0.23898089682671 0.00175091165672226
"var8" 0.0557188459705669 0.135869383771691 0.206763601626692 0.000282492125809961
"var9" 0.217860813831712 0.00750168856421166 0.0141907324340489 9.31962163792332e-05
"var10" 0.0138909876645809 0.294596129621718 0.000578082868768773 0.000243401431709207
"var11" 0.010415586727507 0.00473035574370413 0.000440702487464086 0.0149546633506881
"var12" 0.00080119835985459 0.00030287010624172 0.00472022349575513 0.0139276499850454
"var13" 0.00762719662704566 0.00475189805105672 0.000102959518218708 0.172116275722302
"var14" 0.00394266397746887 0.000197913968996849 0.0114551196674959 0.248438606811916
"var15" 0.00395209302303637 0.00367334478210523 0.00753689636936881 0.19849402956247
"var16" 0.0104450811396526 0.000137625618356758 0.0192410488889671 0.0360462572340998
"var17" 0.00143640369684234 0.000557865390604636 0.0280860351031603 0.0160128648824684
"var18" 0.00127441417213703 0.00271031952702004 6.29166505211769e-05 0.204889567956812
"var19" 0.00907551185415444 0.00136232810207684 0.000119025102821217 0.0366926565760602
"var20" 0.000921527398393002 0.000822380718161637 0.0362708369157861 0.0480602181252766
