"LD1" "LD2" "LD3" "LD4"
"var1" 0.00168672021630333 0.284838982407948 0.000263592424549807 0.000830867182703258
"var2" 0.174788284659013 0.00148291303496414 0.0306898901477443 0.000654872832687001
"var3" 0.0483707238678379 0.175348281246845 0.0389952880330297 0.000800008894495103
"var4" 0.00150110392024343 0.000988507499650944 0.0284425691979163 0.0491445052550845
"var5" 0.263894451510361 0.0106884738025839 0.0134663503630547 0.00114597424196571
"var6" 0.216673986655085 0.0195894301268824 0.0993323581072337 5.61536937441841e-05
"var7" 0.170987506227423 0.184772165752398 0.17030463984326 0.0063114542503938
"var8" 0.000160018690024161 0.0595329297222033 0.0734204394871773 0.0179592116386914
"var9" 0.0597444695979822 0.167822635549821 0.348676437806183 0.00279352688946285
"var10" 0.0551817626135885 0.000319770262187017 0.14761975934664 5.17987976597563e-07
"var11" 0.000604061146577548 0.00471479400922298 0.000421459055828265 0.031349315458528
"var12" 0.00026514156986353 0.0123090194901501 0.0059940958714757 0.00883404315418209
"var13" 0.000216070702104827 0.000992537408225607 0.00927961767347613 0.000454158391553733
"var14" 0.00297971666023986 0.00887922055390344 0.000958956588136671 0.0137487807254131
"var15" 0.000642918637683653 0.00755795449361235 0.00214970876191515 0.00763415582369699
"var16" 7.46440550010672e-05 4.08430320718791e-07 0.00207943603578952 0.384806485105371
"var17" 0.00151657335013531 0.0530456642676627 0.0020382360805882 0.0104472866698013
"var18" 0.000185732671081907 0.00265814699645658 0.000123752814566063 0.0478210092648961
"var19" 0.00030886343409477 0.00322898658228074 0.01432074140501 0.153425851234474
"var20" 0.000217249815355823 0.00122917836268012 0.0114226709564261 0.261781821304879
