"LD1" "LD2" "LD3"
"var1" 0.20916370227393 0.00140576462892108 0.0358188615195825
"var2" 0.207570750105888 7.07076961978551e-09 8.60943640012596e-06
"var3" 0.13324901695906 0.0166199491308113 0.0711083518911766
"var4" 3.31058864491913e-05 0.252407074488788 0.0328570202853784
"var5" 0.203252343416867 0.003985431318939 0.0416431837801657
"var6" 0.00784721620857254 0.00782572188372971 0.412536583902152
"var7" 1.08631471861653e-07 0.251996682302212 0.0338317981938192
"var8" 0.214392934556109 0.0155350684481252 0.0023100108548469
"var9" 0.0179148235746762 0.263844729768 0.00382747091807765
"var10" 0.00593856613264515 0.151201816626951 0.23704544193185
"var11" 3.0048796050463e-06 0.0010779109958228 0.0670391717542805
"var12" 4.08775914114162e-05 0.0134715131043442 0.0156564226298168
"var13" 3.63646618695614e-06 0.000126025042862952 0.00467171307285238
"var14" 0.000239871302432232 0.0109248782625409 4.64089006182626e-06
"var15" 5.80687298678238e-05 0.000630586905647957 0.00320972100707099
"var16" 9.95753835471691e-05 0.00207561409737514 0.00197984492273618
"var17" 2.98855551255755e-07 0.00226552150323519 0.000585004741383559
"var18" 7.02604727722791e-05 0.00155668354660384 0.00607141991793116
"var19" 6.24834859420037e-05 0.00188005553164853 0.0104244680156222
"var20" 5.9355087015219e-05 0.00116896534267215 0.019370260334796
