"LD1" "LD2" "LD3"
"var1" 0.000137800787304486 0.0276253925949825 0.232840243915013
"var2" 0.0905535740715817 0.071049517796161 0.00396360758556477
"var3" 0.291263062249512 0.0434716587637945 0.0814416414799897
"var4" 0.238047639155754 0.133899727246786 0.00579582799104846
"var5" 0.000431318074769306 0.248566664649354 0.0227469620792076
"var6" 0.0336383306441515 0.00176528707331873 0.101061757042191
"var7" 0.0314287146117263 0.00024296256033826 0.24575119740299
"var8" 0.0387880237329073 0.150534582739524 0.214224208737152
"var9" 0.197711329545792 0.0191745199088831 0.0137325327041934
"var10" 0.0354934855932836 0.28836030141495 0.000364346053555836
"var11" 0.0158130818636529 0.00355725756140482 0.00276143397168816
"var12" 0.000795706549326567 0.000456341039471903 0.00322793094746985
"var13" 0.00741462330627798 0.00281423163978339 0.000488449294555413
"var14" 0.00198512667893406 1.76422595172244e-06 0.0106358961320456
"var15" 0.00334070734518821 0.00361703065258046 0.0113656848112451
"var16" 0.00482318701578891 0.000695588481448883 0.00432640246434351
"var17" 0.00400137043207328 3.11682117618215e-05 0.0120842771086008
"var18" 0.000894702718292272 0.00263522525293623 0.00110897149400328
"var19" 0.00316043072177511 6.84032717182015e-07 0.0018829273466094
"var20" 0.000277784901908985 0.00150009415385114 0.030195701438533
