"LD1" "LD2"
"var1" 0.00172547751803928 0.0602037235400823
"var2" 0.080507183930799 0.0960861830276275
"var3" 0.286677487330403 0.0430122864439119
"var4" 0.267980500705741 0.114550187537923
"var5" 0.00639130094937678 0.230598871582982
"var6" 0.056550325236214 0.0142270009684373
"var7" 0.0477058506133948 0.0135513829951929
"var8" 0.0118667382092765 0.112502989841646
"var9" 0.176121087720979 0.02621361358237
"var10" 0.0599928279833273 0.280483972729863
"var11" 0.000882124975585436 0.00118714723417028
"var12" 7.8433331429057e-05 1.07698754912228e-06
"var13" 0.000466663407258351 0.00052630885469036
"var14" 4.64594370046969e-05 0.00141789291319299
"var15" 0.000470228142939115 0.000399143670125325
"var16" 0.000310176296302088 5.74032042673678e-05
"var17" 0.00152989166835439 0.000797565073352321
"var18" 6.57817714088116e-08 0.00255793445828645
"var19" 0.000693595604894392 0.000582574450766604
"var20" 3.58115691006125e-06 0.00104274090356345
