"LD1" "LD2" "LD3" "LD4"
"var1" 0.00314144807100554 0.0186024848988432 0.213428847872437 0.00534435400443167
"var2" 0.116249834025814 0.0505669171189044 0.00380693348088638 0.00269482708583584
"var3" 0.26395781853152 0.0638202365281946 0.0840562503135764 0.000204669854931327
"var4" 0.199680933143886 0.16588830433764 0.00678957807958262 4.50590904270111e-06
"var5" 0.00172770292934276 0.24066112967342 0.0222583443823336 0.00121103526120622
"var6" 0.0401908248465265 0.000104025151839226 0.101904876991041 0.00136138793129297
"var7" 0.0371477089605928 0.000372530374702644 0.2383096623162 0.00415398836897672
"var8" 0.0559405661998419 0.138870972981353 0.207162634780767 0.000969992187549715
"var9" 0.217169178071685 0.0081292783305949 0.0141623956514812 0.00130959306447653
"var10" 0.0147478912196499 0.29399074717855 0.000614609950405685 7.03992908273029e-05
"var11" 0.00947342248316003 0.00461384014174815 2.55933601334793e-05 0.168434505342572
"var12" 0.000994700193667952 0.000343416788494915 0.00665696373705412 0.103182674265599
"var13" 0.00799764041328542 0.00445756866840362 3.92806860465352e-05 0.0204950991580296
"var14" 0.00432682348753536 0.000122681841539191 0.0124460076303344 0.0266663975947691
"var15" 0.00354532467714337 0.00350573882176352 0.00594855308042772 0.0828011266724455
"var16" 0.0112883507419545 9.82613637749422e-05 0.0235391160068431 0.131056356029981
"var17" 0.00174553721509355 0.000625942917013518 0.0217067305341779 0.301556598903948
"var18" 0.00126198438683677 0.0028323549206705 0.000103851246258035 0.000195819286656447
"var19" 0.00835861219225888 0.00144701783721079 1.07207250295865e-05 0.143894481263041
"var20" 0.00105369820919978 0.000946550125338357 0.0370290491749833 0.00439218852438805
