"LD1" "LD2" "LD3" "LD4"
"var1" 0.0690471807390361 0.356523077620962 -1.01741254839856 -0.149815006360012
"var2" 1.30025662327715 -0.654840214076713 0.147144773035814 0.0293878775160316
"var3" 2.05704784419274 0.793397606124405 -0.574425232123074 -0.00991908603409157
"var4" -1.66247199124444 -1.29760746229781 0.144852735635771 -0.00321035273191898
"var5" -0.317332238837903 1.54531562568867 0.299023844698359 0.0257522341718915
"var6" 0.726286110227982 0.00751005933994852 0.608798849348526 -0.0955537806652071
"var7" 0.46035660407943 0.140344840839736 1.02301330671863 0.0877147972259205
"var8" 1.16334330503149 -1.18931960289733 -0.917936501003443 -0.0428460106705252
"var9" -1.82457774410569 0.24305775513812 0.209564308780059 -0.0227624555049836
"var10" -0.414423871161769 -1.68980750799255 0.0592008392358649 -0.00524000179420971
"var11" -0.073372876564371 0.0369471441179003 -0.155922704899381 0.169325907962793
"var12" 0.0453395401793322 0.010451025971459 -0.0242734608650465 0.373541504366628
"var13" -0.0430644057705585 -0.0886774661828 -0.0320006698553034 0.0767123425497017
"var14" -0.000722300680002348 -0.112796242277789 0.0276563931099255 -0.185931267425247
"var15" -0.136230535091188 0.065173280264116 0.0768107573675019 -0.0491086759068007
"var16" -0.0807489168834814 -0.00588803631187757 0.0159875449026753 -0.516195179699396
"var17" -0.0695795694970151 -0.0389665021639517 -0.227318728336934 -0.549873601242062
"var18" -0.0359412031270436 0.128024982585032 -0.0293205273027351 -0.243561894529634
"var19" -0.0969996041881382 0.0465245634404242 -0.0549679259420126 0.302844009914879
"var20" -0.0674168866560661 -0.0571130505283873 0.200663349967527 -0.632975603079228
