contribution loading
var7 0.290910447064082 -1.86264314501145
var9 0.271086983805488 1.79806063171384
var1 0.229548859491419 -1.65457923351071
var3 0.111452785803868 1.15291015285226
var6 0.0298443231198267 -0.596596726749323
var8 0.0184973303314809 -0.469682658714825
var10 0.0183865632357974 -0.468274252671506
var2 0.0158024007982965 0.434121740867425
var5 0.00952609161571967 0.337060124253596
var17 0.00107315653122877 0.113130976575691
var12 0.000886437356204152 -0.102819153599716
var4 0.000850133284861774 -0.100691662087318
var16 0.00074021332593899 0.0939568502312369
var20 0.000446171006562592 -0.0729458639252842
var13 0.000306032251390345 0.0604134445380302
var11 0.000303570215351835 0.0601699400696245
var19 0.000156807713671117 -0.0432447818758353
var18 0.00010610233694615 -0.0355723432502291
var14 7.53199005211892e-05 0.0299712508390863
var15 2.70811344224627e-07 0.00179714627071978
