contribution loading
var3 0.292633580551115 2.05803444322872
var9 0.230789179549469 -1.82767208996561
var4 0.190784537748894 -1.66173644665677
var2 0.11742919593876 1.30370281066832
var8 0.0942442293522244 1.16793303324465
var6 0.0366814776972489 0.728641611744849
var7 0.0146525090651684 0.460517944565751
var10 0.0116604758930697 -0.410817273497381
var5 0.00715005237583438 -0.321695636240903
var15 0.00127980795148711 -0.136101515238652
var19 0.000692374336157897 -0.100106214546261
var16 0.000399724377594399 -0.0760625490631394
var11 0.000391133402577395 -0.0752407318621375
var1 0.000329527064287938 0.0690615152646326
var17 0.000288560507654778 -0.064626257233105
var20 0.000260391626605602 -0.0613909092242415
var13 0.000131598088742436 -0.0436430756724192
var12 0.000121326065680096 0.0419051708431693
var18 8.02024443328528e-05 -0.0340709592034459
var14 1.15963095322434e-07 0.00129553890035344
