contribution loading
var7 0.266474720493183 -1.02589300270614
var1 0.264357319011792 1.02180901360338
var8 0.214023122258818 0.91939980580953
var6 0.0934618846414121 -0.607563012879535
var3 0.0839607640213558 0.575853818387287
var5 0.022660735134921 -0.299165188912894
var17 0.0144092777243901 0.238558648644173
var9 0.0110996617912412 -0.209376980762813
var20 0.00897603746724444 -0.188285288582327
var11 0.00590672885555892 0.152738168148115
var2 0.00555593804729682 -0.148133320240769
var4 0.00537640722316964 -0.145720327259861
var15 0.00145858284854328 -0.0758996216788734
var10 0.0009122443048903 -0.0600246505464465
var19 0.000607823438367615 0.0489962431758356
var18 0.000297603357186136 0.0342841173526069
var13 0.000234903182809172 0.0304592012652569
var14 0.000146184873735036 -0.0240284235377492
var12 7.18415429667373e-05 0.0168446458887909
var16 8.21978111833737e-06 -0.00569776045209137
